card.basic_infantry.name,Basic Infantry
card.low_cover.rules_text,Enemy units adjacent to this tile have 50% evasion vs ranged attacks when this tile is on the line of {FX:fire}; evaded shots damage this obstacle. {KW:flying} and {KW:trueshot} ignore this evasion.
card.low_cover.normal_rules_text,4 {HP}. Does not block line of sight.
card.low_cover.flavor_text,
card.focus_bolt.name,Focus Bolt
card.focus_bolt.rules_text,Casts from a unit you control and uses that unit's keywords.
card.focus_bolt.normal_rules_text,{KW:focus}. {REFLEX}. Deal 3 damage to an enemy within {RANGE} 4.
card.focus_bolt.flavor_text,
card.grease_monkeys.name,Grease Monkeys
card.grease_monkeys.rules_text,Tune-Up stacks with other {KW:boost|boosts}.
card.grease_monkeys.normal_rules_text,"{LIFE}3, {MOVE}3, {MELEE}1–2. {KW:stockpile} 3. Quick Repairs {O} (channeled): Heal 2 to an allied structure or base. Tune-Up {O}{O} (channeled): {KW:boost|Boosts} an allied unit or structure with +2 damage on its next attack or ability."
card.grease_monkeys.flavor_text,"If it creaks, sputters, or catches fire, the Monkeys already have three ideas and a wrench."
card.orion_crowe.name,Orion Crowe
card.orion_crowe.rules_text,Diagonal directions use a stacked-L footprint. Energy Wave ignores cover and counts as your attack.
card.orion_crowe.normal_rules_text,"{GL:armor} 1. {LIFE}8, {MOVE}3, {MELEE}3–5. Overcharge Burst {O} (blazing): {KW:boost|Boosts} self (+1 damage on your next attack or ability). Energy Wave {N}{O} (reflex, attack): Choose a direction ; deal 2 damage to everything in a 3×2 area in that direction."
card.orion_crowe.flavor_text,She channels stored power through the battlefield in a single sweeping discharge.
card.electrified_death_ball.name,Electrified Death Ball
card.electrified_death_ball.rules_text,{KW:slippery}: can path through occupied cells but cannot end movement on one.
card.electrified_death_ball.normal_rules_text,"{KW:whirlwind}. {KW:slippery}. {GL:armor} 2. {LIFE}9, {MOVE}3, {MELEE}1–1. {KW:shock_on_hit}: damage this unit does applies 1 {FX:overload} to each unit it damages."
card.electrified_death_ball.flavor_text,
card.sylvia.name,Sylvia
card.sylvia.rules_text,{KW:boost|Boosts} expire at your turn end if unused. {FX:overload} and {FX:jammed} {KW:boost|boosts} are mutually exclusive on the same target.
card.sylvia.normal_rules_text,"{LIFE}5, {MOVE}3, {RANGED}2–3, {RANGE}3. Static Charge {N}{O} (channeled): {KW:boost|Boosts} an allied unit, structure, or yourself - its next attack or ability applies 1 {FX:overload} to each entity it damages. Jamming Array {N}{N}{O}{O}{O} (channeled): same targeting; {KW:boost|Boosts} its next attack or ability to apply 1 {FX:jammed} to each entity it damages."
card.sylvia.flavor_text,She threads disruption through every shot her allies take.
card.starforged_knights.name,Starforged Knights
card.starforged_knights.rules_text,
card.starforged_knights.normal_rules_text,"{KW:stockpile} 3. {LIFE}5, {MOVE}3, {MELEE}1–3. Starforged Growth {N}{O} (reflex): permanently gain +1 max HP and +1 damage. Starforged Tithe: whenever this unit deals damage to an enemy unit and {GL:survives|survives}, gain 1 {GL:flux_energy|flux energy} (max 2 per turn)."
card.starforged_knights.flavor_text,"Each strike rings louder than the last, and the echo pays in power."
card.clawbreaker_mk5.name,Clawbreaker Mk 5
card.clawbreaker_mk5.rules_text,On-hit effects and damage bonuses apply to every Fury Strikes hit. Fury Strikes counts as your attack.
card.clawbreaker_mk5.normal_rules_text,"Overload Strikes: Damage this unit does applies 1 {FX:overload} to each unit it damages. Bleeding Strikes: Damage this unit does applies 1 {FX:bleed} to each unit it damages. {LIFE}11, {MOVE}3, {MELEE}3–6. Fury Strikes {N}{O}{O} (channeled, attack): strike a target enemy three times for 1 damage each. Missile Storm {N}{N}{O}{O} (reflex): fire missiles at up to 4 nearest enemies for 2 damage each."
card.clawbreaker_mk5.flavor_text,The chain arm doesn't stop. Neither does the damage counter.
card.blackmarket_battery.name,Blackmarket Battery
card.blackmarket_battery.rules_text,{KW:surge} does not grant extra movement.
card.blackmarket_battery.normal_rules_text,"(reflex). Target an allied unit. If it has {FX:deployment_fatigue}, grant it {KW:surge} (may attack and use abilities this turn despite fatigue). If it has no fatigue, refresh all its abilities (resets abilities used this turn and barrage cast counts)."
card.blackmarket_battery.flavor_text,"Fully illegal, definitely overpriced, and worth every credit."
card.beam_splitter_mk2.name,Beam Splitter Mk II
card.beam_splitter_mk2.rules_text,Uses the caster’s pierce, lifesteal, soul steal, and on-damage primers on each hit.
card.beam_splitter_mk2.normal_rules_text,"{KW:stockpile} 2. {KW:focus} ({RANGE} 4). Choose a friendly caster unit, then a cardinal direction ; fires a helix-shaped beam in that direction, dealing 2 damage to everything in 6 tiles along that ray."
card.beam_splitter_mk2.flavor_text,Twin-phase refraction turns one beam into a weaving lattice of ruin.
card.starforged_sentinel.name,Starforged Sentinel
card.starforged_sentinel.rules_text,
card.starforged_sentinel.normal_rules_text,"{KW:stockpile} 3. {LIFE}11, {MOVE}2, {MELEE}3–5. Sentinel’s Tithe: whenever this unit deals damage to an enemy unit and {GL:survives|survives}, gain 2 {GL:flux_energy|flux energy} (max 4 per turn). Starforged Surge {N}{O} (reflex, 3 uses per turn): permanently gain +1 max HP and +1 damage."
card.starforged_sentinel.flavor_text,It absorbs every blow like a toll - and the resonance pays back double.
card.starforged_titan.name,Starforged Titan
card.starforged_titan.rules_text,"Starforged Feast fires last among this unit’s end-of-turn passives. {KW:exalted}: you must have generated 8 {GL:flux_energy|flux energy} over the course of the game."
card.starforged_titan.normal_rules_text,"{KW:exalted}: you must have generated 8 {GL:flux_energy|flux energy} over the course of the game. 2×2. {KW:cleave}. {LIFE}16, {MOVE}4, {MELEE}6–8. Titan’s Tithe: whenever this unit deals damage to an enemy unit and {GL:survives|survives}, gain 4 {GL:flux_energy|flux energy} (max 12 per turn). Starforged Feast: at end of your turn, consume all {GL:flux_energy|flux energy} not generated by zones; gain +1 damage and +1 max HP for each point consumed."
card.starforged_titan.flavor_text,"Where the Sentinel endures, the Titan devours."
card.rapid_ranged_replicator.name,Rapid Ranged Replicator
card.rapid_ranged_replicator.rules_text,No bot spawns if no {ADJACENT} empty tile is available.
card.rapid_ranged_replicator.normal_rules_text,"{LIFE}5, {RANGED}2, {RANGE}4. Replication Protocol: whenever this structure damages an enemy, spawn a Replicator Bot on a random unoccupied {ADJACENT} tile to that enemy - the bot’s attack and HP equal the damage dealt; it spawns {FX:stunned}. Replicate Power {N}{O} (channeled): permanently gain +1 damage."
card.rapid_ranged_replicator.flavor_text,Every hit is an investment.
card.estelle_novara.name,Estelle Novara
card.estelle_novara.rules_text,"Piercing Shot ignores {FX:shield}, {GL:armor}, and {FX:bonus_health}, ignores line of sight, and does not damage bases."
card.estelle_novara.normal_rules_text,"{LIFE}5, {MOVE}3, {RANGED}4–6, {RANGE}3. Resonance Echo: whenever a surrounding allied or enemy unit gains any temporary buff, you gain a copy too. Piercing Shot {N}{N}{O} (channeled): fire a piercing bolt in one direction up to {RANGE}8 dealing 3 damage to every unit and structure hit."
card.estelle_novara.flavor_text,She doesn't aim for one target. She aims through all of them.
card.the_macrowave.name,The Macrowave
card.the_macrowave.rules_text,Can target any unit on either team.
card.the_macrowave.normal_rules_text,"(channeled). Grant a target unit The Macrowave Pulse: at end of its owner’s turn, deal 3 damage to all surrounding units (allies and enemies)."
card.the_macrowave.flavor_text,The frequency is perfectly tuned to cook everything in range.
card.power_of_the_sun.name,Power of the Sun
card.power_of_the_sun.rules_text,X must be at least 1. Cannot target the casting unit itself.
card.power_of_the_sun.normal_rules_text,{KW:focus} (channeled). Choose X. Deal X damage to a unit within {RANGE} 1 of your caster. Costs 2 {O} + X {N}.
card.power_of_the_sun.flavor_text,"The longer it charges, the smaller the shadow it leaves."
card.jury_rigged_mortar.name,Jury-Rigged Mortar
card.jury_rigged_mortar.rules_text,Mortar Barrage cannot target {ADJACENT} tiles (minimum range 2).
card.jury_rigged_mortar.normal_rules_text,"{LIFE}6. Mortar Barrage: at end of your turn, deal 3 damage and apply 1 {FX:overload} to a random enemy within {RANGE}4 (not {ADJACENT}) and all {ADJACENT} entities to that enemy. Final Barrage {N}{N}{N}{O}{O}{O} (channeled): at start of your next turn, fire Mortar Barrage 6 times, then self-destruct for 3 damage and 1 {FX:overload} to all {ADJACENT} entities."
card.jury_rigged_mortar.flavor_text,Calibration is for people with time.
card.nurse_bot.name,Nurse Bot
card.nurse_bot.rules_text,
card.nurse_bot.normal_rules_text,"{LIFE}4, {MOVE}3, {RANGED}2, {RANGE}3. Quick Heal {O} (reflex): Heal a target allied unit for 4. Medical Override {N}{N}{O} (channeled): Grant an allied unit {FX:medical_override} until the end of that unit's turn."
card.nurse_bot.flavor_text,Sometimes the best offence is someone else's defence.
card.sunkissed_ranger.name,Sunkissed Ranger
card.sunkissed_ranger.rules_text,
card.sunkissed_ranger.normal_rules_text,"{KW:stockpile} 2. {LIFE}9, {MOVE}3, {RANGED}3–6, {RANGE}3. Ranger's Tithe: whenever this unit deals damage to an enemy unit and {GL:survives|survives}, gain 3 {GL:flux_energy|flux energy} (max 6 per turn). Sunkissed Calibration {N}{O}{O}{O} (reflex): permanently gain +2 damage and +1 max HP."
card.sunkissed_ranger.flavor_text,"The glare never blinds her - it only sets the sights."
card.raging_volt_spire.name,Raging Volt Spire
card.raging_volt_spire.rules_text,"Volt Feed does not absorb stacks from other Volt Feed units’ explosions. Incoming {FX:overload} applications are also halved (floor). {KW:exalted}: you must have applied 6 {FX:overload} over the course of the game."
card.raging_volt_spire.normal_rules_text,"{KW:exalted}: you must have applied 6 {FX:overload} over the course of the game. 2×2. {LIFE}14, {MOVE}10, {RANGED}1–3, {RANGE}2. {PASSIVE} Overload Hardening: takes half damage from {FX:overload} explosions and retains all {FX:overload} stacks after exploding. {PASSIVE} Volt Feed: whenever any other unit within {RANGE}2 explodes from {FX:overload}, this unit gains those stacks. Volt Surge {N}{N}{O} (channeled): gain 2 {FX:overload} on self."
card.raging_volt_spire.flavor_text,
card.starforged_imitation.name,Starforged Imitation
card.starforged_imitation.rules_text,
card.starforged_imitation.normal_rules_text,{KW:stockpile} 2. (channeled). Permanently grant an allied unit +1 damage and +1 max HP.
card.starforged_imitation.flavor_text,The resonance doesn't fade - it builds.
card.shocking_stimulus.name,Shocking Stimulus
card.shocking_stimulus.rules_text,
card.shocking_stimulus.normal_rules_text,(channeled). Target a 4×4 area. All allied units in that area gain 1 {FX:overload} and +1 movement until end of that unit’s owner’s turn.
card.shocking_stimulus.flavor_text,Resonance doesn't ask permission before it spreads.
card.meth.name,*M*E*T*H
card.meth.rules_text,"Bonus is stored until next turn start, then {KW:boost|boosts} the target."
card.meth.normal_rules_text,(channeled). {KW:boost|Boosts} a target allied unit (+8 damage on its next attack or ability at the start of its owner’s next turn).
card.meth.flavor_text,The aether doesn't strike now. It waits.
card.bootleg_go_go_powder.name,Bootleg Go-Go Powder
card.bootleg_go_go_powder.rules_text,
card.bootleg_go_go_powder.normal_rules_text,(reflex). Grant a unit (ally or enemy) a +2 damage {KW:boost|Boost} and deal 1 damage to it.
card.bootleg_go_go_powder.flavor_text,"No label, no warranty, no problem."
card.shock_bot.name,Shock Bot
card.shock_bot.rules_text,
card.shock_bot.normal_rules_text,"{KW:stockpile} 3. {KW:charge}. {LIFE}1, {MOVE}4, {MELEE}1–2. Overload on Hit: damage this unit does applies 1 {FX:overload} to each unit it damages."
card.shock_bot.flavor_text,The last thing you feel before the charge is a soft buzz.
card.dynamic_deployable_duplicator.name,Dynamic Deployable Duplicator
card.dynamic_deployable_duplicator.rules_text,Bot damage has a 3-point spread (e.g. 1–3). Only enemy units can be targeted.
card.dynamic_deployable_duplicator.normal_rules_text,"{KW:focus} ({RANGE} 3). Choose a friendly caster unit. Deal damage to a target enemy unit equal to half that caster’s attack roll. If there is an empty cell adjacent to the target, spawn a Replicator Bot there with HP and melee damage equal to the damage dealt; the bot inherits the caster’s keywords and spawns {FX:stunned}."
card.dynamic_deployable_duplicator.flavor_text,
card.outdated_grenade.name,Outdated Grenades
card.outdated_grenade.rules_text,
card.outdated_grenade.normal_rules_text,"{KW:stockpile} 2. {KW:focus} ({RANGE} 2). Choose a friendly caster unit, then a board cell. Deal 2 damage to all entities in a 3×3 area centered on that cell."
card.outdated_grenade.flavor_text,
card.debilitator.name,Debilitator
card.debilitator.rules_text,{KW:boost|Boosts} expire at your turn end if unused. Drag Line and Anchor Line can coexist on the same target.
card.debilitator.normal_rules_text,"{LIFE}6, {MOVE}3, {RANGED}2–4, {RANGE}2. Drag Line {N}{O} (channeled): {KW:boost|Boosts} an allied unit (or yourself) - its next damaging ability reduces 1 movement to each unit it damages. Anchor Line {N}{N}{O}{O} (channeled): {KW:boost|Boosts} an allied unit (or yourself) - its next damaging ability {FX:rooted|roots} each unit it damages."
card.debilitator.flavor_text,Every shot comes with strings attached.
card.pocket_nuke.name,Pocket Nuke
card.pocket_nuke.rules_text,
card.pocket_nuke.normal_rules_text,"{KW:focus} ({RANGE} 3). Choose a friendly caster unit, then a board cell. Deal 8 damage to all entities in a 3×3 area centered on that cell."
card.pocket_nuke.flavor_text,"Portable, pocket-sized, and only slightly illegal."
card.jacquelynne.name,Jacquelynne
card.jacquelynne.rules_text,"Mending Shot also gains the caster’s aura ability-damage bonus and only consumes next-damage {KW:boost|boosts} as extra healing."
card.jacquelynne.normal_rules_text,"{LIFE}8, {MOVE}3, {RANGED}3–5, {RANGE}3. Mending Shot {O} (reflex, {RANGE}2): heal a unit (or yourself) for 5; consumes all pending next-damage {KW:boost|boosts} as extra healing. Doublecast {N}{N}{O}{O}{O} (channeled): target a unit or yourself - that unit’s next activated ability casts twice on the same targets."
card.jacquelynne.flavor_text,
card.desperate_scan.name,Desperate Scan
card.desperate_scan.rules_text,
card.desperate_scan.normal_rules_text,"(blazing). Apply 3 {FX:overload} to a friendly unit (can target self), then draw 2 cards."
card.desperate_scan.flavor_text,Push it a little further. What's the worst that could happen?
card.synths_interlinked.name,Synths Interlinked
card.synths_interlinked.rules_text,
card.synths_interlinked.normal_rules_text,(reflex). {KW:boost|Boosts} an allied unit (+1 damage on its next attack or ability). {GL:chain|Chains} to every ally connected by diagonal or orthogonal adjacency.
card.synths_interlinked.flavor_text,One spark is all it takes.

card.voltcrusher_dreadnought.name,Voltcrusher Dreadnought
card.voltcrusher_dreadnought.rules_text,"High Explosive Round may be body-intercepted (50% per blocking unit); explosion ignores LOS. Counts as an attack. {KW:exalted}: you must have dealt 12 damage with abilities over the course of the game."
card.voltcrusher_dreadnought.normal_rules_text,"{KW:exalted}: you must have dealt 12 damage with abilities over the course of the game. 2×2. Armored Plating: {GL:armor} 1. {LIFE}11, {MOVE}8, {RANGED} 5–8, {RANGE} 2. High Explosive Round {N}{N}{O}{O}{O} (reflex, attack): fire a shell at an enemy; detonate for 4 damage in a 3×3 area where it lands. Artillery Mode {N}{O} (channeled): gain {KW:trueshot}, +1 {RANGE}, and deadzone 1 until start of your next turn."
card.voltcrusher_dreadnought.flavor_text,
card.the_boss.name,The Boss
card.the_boss.rules_text,Press the Advantage stacks. {KW:command|Command Presence} does not buff basic attacks.
card.the_boss.normal_rules_text,"{LIFE}10, {MOVE}3, {MELEE}3–5. {KW:command|Command Presence}: allied units within {RANGE}1 deal +1 damage with activated abilities. Amplify {N}{O} (channeled, 2 uses): increase {KW:command|Command Presence} range by 1 until start of your next turn. Press the Advantage {N}{N}{O} (channeled): permanently increase {KW:command|Command Presence} ability damage by +1."
card.the_boss.flavor_text,
card.field_upgrade.name,Field Upgrade
card.field_upgrade.rules_text,
card.field_upgrade.normal_rules_text,"(channeled). Permanently grant an allied unit +1 damage and +3 max HP, then draw 1 card."
card.field_upgrade.flavor_text,A little reinforcement goes a long way.
card.live_wire.name,Live Wire
card.live_wire.rules_text,
card.live_wire.normal_rules_text,(reflex). Apply 1 {FX:overload} to a unit or structure. {GL:chain|Chains} to every connected unit and structure on any team.
card.live_wire.flavor_text,The current finds its own path.
card.liquid_data.name,"""Liquid Data"""
card.liquid_data.rules_text,{KW:surge} does not grant extra movement.
card.liquid_data.normal_rules_text,"(blazing). Target an allied unit. If it has {FX:deployment_fatigue}, grant it {KW:surge} (may attack and use abilities this turn despite fatigue). If it has no fatigue, refresh all its abilities."
card.liquid_data.flavor_text,Tired is a state of mind. Move.
card.debonair.name,Debonair
card.debonair.rules_text,{FX:style} stacks persist until consumed by Unleash.
card.debonair.normal_rules_text,"{KW:slippery}. {LIFE}9, {MOVE}3, {RANGED}2–4, {RANGE}2. Cross-X Shot {N}{N}{O} (channeled, 2 uses): fire at enemies exactly {RANGE}2 away - first use is the 4 cardinal directions, then the 4 diagonals, alternating each use (LOS required); uses your ranged damage; gain 1 {FX:style}. Unleash {N}{N}{O}{O} (channeled): deal 2 damage per {FX:style} stack to a surrounding enemy, then consume all {FX:style}; scales with pending next-damage {KW:boost|boosts}."
card.debonair.flavor_text,Every shot is a statement. Every miss? Impossible.
card.starforged_accumulator.name,Starforged Accumulator
card.starforged_accumulator.rules_text,
card.starforged_accumulator.normal_rules_text,"{KW:spearhead} 4. {LIFE}6. No attacks. At start of your turn, gain 3 {GL:flux_energy|flux energy}."
card.starforged_accumulator.flavor_text,They wired the front line straight into the spell grid.
card.ape_foreman.name,Ape Foreman
card.ape_foreman.rules_text,
card.ape_foreman.normal_rules_text,"{LIFE}5, {MOVE}3, {MELEE}2–3. Reinforced Foundations: allied structures {ADJACENT} to this unit gain +2 max HP. Deploy Shock Wire {N}{O} (channeled): place a Shock Wire structure on an {ADJACENT} empty cell (2 HP, no attacks; melee attackers that damage it receive 1 {FX:overload})."
card.ape_foreman.flavor_text,"He runs the job site like a live circuit - every wire grounded, every worker buzzing."
card.terra.name,Terra
card.terra.rules_text,Terra Dash must target an empty cell or pickup in a straight line; cannot pass through occupied tiles. Seismic Cone counts as an attack.
card.terra.normal_rules_text,"{LIFE}12, {MOVE}2, {MELEE}5–7. Seismic Cone {N}{O} (reflex, attack): deal 6 damage to an {ADJACENT} tile and 3 damage to the three tiles behind it in a side-by-side row. Terra Dash {O} (channeled): dash to a tile exactly 3 tiles away."
card.terra.flavor_text,"The ground answers when she calls - first in a fist, then in a ripple."
card.reactive_armor.name,Reactive Armor
card.reactive_armor.rules_text,Whenever this unit takes damage it gains 1 more {GL:armor}. The {GL:armor} and ability is lost at the start of your next turn.
card.reactive_armor.normal_rules_text,"(reflex). Grant an allied unit 1 {GL:armor}. Whenever this unit takes damage it gains 1 more {GL:armor}. The {GL:armor} and ability is lost at the start of your next turn."
card.reactive_armor.flavor_text,The plating learns from every blow.
card.vulturous_nanites.name,Vulturous Nanites
card.vulturous_nanites.rules_text,
card.vulturous_nanites.normal_rules_text,"(reflex). Grant an allied unit {KW:last_gasp}: when it dies, spawn a melee token at its location with half its base attack and HP (rounded down); the token spawns {FX:stunned}."
card.vulturous_nanites.flavor_text,"Even in death, they leave a mark."
card.defective_augment.name,Defective Augment
card.defective_augment.rules_text,Can target ally or enemy.
card.defective_augment.normal_rules_text,(reflex). Apply 2 {FX:jammed} to a unit and permanently grant it +3 damage and +3 max HP.
card.defective_augment.flavor_text,The upgrade works. The side effects are someone else's problem.
card.mind_hijack.name,Mind Hijack
card.mind_hijack.rules_text,Only swaps non-stat temporary effects.
card.mind_hijack.normal_rules_text,(reflex). {KW:focus} ({RANGE}3). Choose a caster unit and another target unit within {RANGE}3. Swap all temporary buffs and debuffs between the two units.
card.mind_hijack.flavor_text,Your problems are now theirs. Or maybe theirs are yours.
card.sylvias_special_blend.name,Sylvia's Special Blend
card.sylvias_special_blend.rules_text,Affects spells cast by that unit and its activated abilities.
card.sylvias_special_blend.normal_rules_text,"{BLAZING}. Choose a target unit. Until end of turn, that unit’s channeled spells and abilities are treated as reflex."
card.sylvias_special_blend.flavor_text,Overclock the mind. Pay the price later.
card.dust_to_data.name,Dust to Data
card.dust_to_data.rules_text,
card.dust_to_data.normal_rules_text,(reflex). Destroy an allied unit. Gain {GL:flux_energy|flux energy} equal to double its total orange + neutral energy cost.
card.dust_to_data.flavor_text,She gave everything to the cause. Quite literally.
card.the_starforged_aberration.name,The Starforged Aberration
card.the_starforged_aberration.rules_text,"Uses base stats only, not temporary modifiers."
card.the_starforged_aberration.normal_rules_text,"(reflex). Target a 4×2 area. Sum base damage and base HP of all allied units in that area, then randomly redistribute those totals among them (each unit ends with at least 1 attack and 1 HP)."
card.the_starforged_aberration.flavor_text,Everyone contributes. Fate decides who receives.
card.overly_affectionate_cyberware.name,Overly Affectionate Cyberware
card.overly_affectionate_cyberware.rules_text,Can only target a unit with a total energy cost of 5 or less.
card.overly_affectionate_cyberware.normal_rules_text,(reflex). Can only target a unit with a total energy cost of 5 or less. It gains {PASSIVE}, Hyperactive Scanning: temporarily gain the keywords of surrounding units.
card.overly_affectionate_cyberware.flavor_text,Warm upgrades for cold operators.
card.explosive_graft.name,Explosive Graft
card.explosive_graft.rules_text,{FX:explosive_graft} is consumed after triggering once.
card.explosive_graft.normal_rules_text,"(channeled). {FX:stunned|Stun} an allied unit and grant {FX:explosive_graft}: the next time an enemy damages it, all surrounding units (allied and enemy) take 5 damage and 2 {FX:overload}."
card.explosive_graft.flavor_text,The implant had one flaw: it worked exactly as intended.
card.1g_gy.name,"""1G-GY"""
card.1g_gy.rules_text,Requires a friendly caster unit within {KW:focus} range. Only unit targets.
card.1g_gy.normal_rules_text,"{KW:stockpile} 3. {KW:focus} ({RANGE}3). (channeled). Deal 4 damage to a target unit. If this kills it, draw 1 card."
card.1g_gy.flavor_text,Accurate enough to be lethal. Not much margin for error.
card.test_haste_runner.name,Test Haste Runner
card.test_haste_runner.rules_text,"{KW:haste}. On its deploy turn, may move normally but cannot attack, defend, dash, or use Quick Shot."
card.test_haste_runner.normal_rules_text,
card.test_haste_runner.flavor_text,
card.test_surge_striker.name,Test Surge Striker
card.test_surge_striker.rules_text,"{KW:surge}. On its deploy turn, may attack, defend, dash, and use Quick Shot but cannot move."
card.test_surge_striker.normal_rules_text,
card.test_surge_striker.flavor_text,
card.test_charge_knight.name,Test Charge Knight
card.test_charge_knight.rules_text,{KW:charge}. Ignores {FX:deployment_fatigue} on the turn it is deployed.
card.test_charge_knight.normal_rules_text,
card.test_charge_knight.flavor_text,
card.test_haste_surge_unit.name,Test Haste Surge Unit
card.test_haste_surge_unit.rules_text,"{KW:haste}. {KW:surge}. On its deploy turn, may move, attack, defend, dash, and use abilities."
card.test_haste_surge_unit.normal_rules_text,
card.test_haste_surge_unit.flavor_text,
card.frontline_faithful.name,Frontline Faithful
card.frontline_faithful.rules_text,
card.frontline_faithful.normal_rules_text,"{KW:stockpile} 4. {LIFE}4, {MOVE}3, Hybrid {MELEE}1–4 / {RANGED}1–2 {RANGE}2."
card.frontline_faithful.flavor_text,
card.trench_runner.name,Trench Runner
card.trench_runner.rules_text,
card.trench_runner.normal_rules_text,"{KW:haste}. {KW:base_breaker} 3. {KW:stockpile} 2. {LIFE}5, {MOVE}4, {MELEE}2–5."
card.trench_runner.flavor_text,
card.overworked_operator.name,Overworked Operator
card.overworked_operator.rules_text,The first unit to collect the pickup heals 4 HP.
card.overworked_operator.normal_rules_text,"{KW:command} 4. {LIFE}6, {RANGED}1–3 {RANGE}2. Supply Drop {N}{G} (channeled, {RANGE}2): place a +4 HP heal pickup on an empty tile."
card.overworked_operator.flavor_text,
card.inspiring_commander.name,Inspiring Commander
card.inspiring_commander.rules_text,Barrage: pay {N} again on the same activation to extend.
card.inspiring_commander.normal_rules_text,"{LIFE}8, {MOVE}3, Hybrid {MELEE}2–5 / {RANGED}2–5 {RANGE}2. Inspiring Presence: surrounding allies gain +1 damage and +1 max HP. Inspire {G}{N} (channeled, barrage {N}): allied auras from this unit grant +1 attack and +1 HP until your next turn. Coordinate {G}{G}{N} (channeled, barrage {N}): increase this unit's aura range by 1 until your next turn."
card.inspiring_commander.flavor_text,
card.command_post.name,Command Post
card.command_post.rules_text,
card.command_post.normal_rules_text,{KW:command} 8. {LIFE}8. Deploy allied 1×1 units with total energy cost ≤ 8 on tiles {ADJACENT} to this structure.
card.command_post.flavor_text,
card.counter_sniper.name,Counter Sniper
card.counter_sniper.rules_text,Each application is a separate reaction stack. Unused stacks decay at the start of your turn.
card.counter_sniper.normal_rules_text,"{LIFE}2, {RANGED}3–6 {RANGE}4. Covering Shot {N}{G} (channeled, {RANGE}3): mark an allied unit - when an enemy attacks that ally this turn, this unit fires back."
card.counter_sniper.flavor_text,
card.conscript_call.name,Conscript Call
card.conscript_call.rules_text,Conscripts enter with {FX:deployment_fatigue}.
card.conscript_call.normal_rules_text,"(channeled). Summon Conscript tokens (Hybrid {MELEE}2–4 / {RANGED}2–4 {RANGE}2, {LIFE}4, {MOVE}3) on every empty cell in your base deployment zone (max 8)."
card.conscript_call.flavor_text,
card.diesel_rider.name,Diesel Rider
card.diesel_rider.rules_text,
card.diesel_rider.normal_rules_text,"{KW:charge}. {LIFE}6, {MOVE}3, {MELEE}3–6. Full Throttle: when this unit damages an enemy, restore one move action. Blitz {G}{G}{N} (channeled): gain a bonus attack this turn."
card.diesel_rider.flavor_text,
card.field_nurse.name,Field Nurse
card.field_nurse.rules_text,
